brand,file,name
1Custom,1Custom Dual,SA02
1Custom,SA03,SA03
1Custom,SA05,SA05
1MORE,Piston 1More,Piston
1MORE,Single Driver,Single Driver
1MORE,Dual Driver,Dual Driver
1MORE,Triple Driver,Triple Driver
1MORE,Quad,Quad Driver
1MORE,Stylish,Stylish
64 Audio,A2e,A2e
64 Audio,A4t,A4t
64 Audio,A6t,A6t
64 Audio,"['N8 M15', 'N8 M15 S3', 'N8 M15 S4']",N8 (Universal)
64 Audio,"['N8 C S6', 'N8 M15 C S2', 'N8 M15 C S3', 'N8 M15 C S4', 'N8 M15 C S5', 'N8 Mod']",N8 (Custom)
64 Audio,"['Nio S2 M15', 'Nio S2 M20', 'Nio S2 MX', 'Nio M15', 'Nio MX']",Nio
64 Audio,A12t C S2,A12t (Custom)
64 Audio,"['A12t', 'U12t S3', 'U12t']",U12t
64 Audio,"['U18Tzar', 'U18Tzar S2']",U18Tzar
64 Audio,A18S C,A18S (Custom)
64 Audio,"['A18S S2', 'A18S']",U18S
64 Audio,Duo 64,Duo
64 Audio,"['Trio', 'Trio S2']",tia Trio
64 Audio,"['Fourte', 'Fourte S2']",tia Fourte
64 Audio,Fourte Noir,tia Fourte Noir
64 Audio,V2,V2 (1964 Ears)
Truthear,"['Zero TE S2', 'Zero TE S3', 'Zero TE S4', 'Zero TE S5', 'Zero TE S6', 'Zero TE S7', 'Zero TE S8', 'Zero TE S9', 'Zero TE S10', 'Zero TE S1']",Zero
7Hz-Salnotes,"['Dioko S1', 'Dioko S2', 'Dioko']",Dioko
7Hz-Salnotes,Eternal,Eternal
7Hz-Salnotes,Timeless,Timeless
A&D,KS3,KS3
A&K,"['T8iE Mk1 S2', 'T8iE Mk1']",T8iE Mk1
A&K,T9iE,T9iE
AAW,A2H V2,A2H V2
AAW,A3H,A3H
AAW,A3H V2,A3H V2
AAW,A3H 2019,A3H 2019
AAW,A3H Plus,A3H Plus
AAW,ACH,ACH
AAW,"['ASH', 'ASH S2']",ASH
AAW,AXH,AXH
AAW,AXH 2019,AXH 2019
AAW,"['Canary', 'Canary S2']",Canary
AAW,Kingfisher,Kingfisher
AAW,"['Halycon Norm', 'Halycon Bass', 'Halycon Vokal']",Halcyon
AAW,Mockingbird,Mockingbird
AAW,Nightingale,Nightingale
AAW,W500,W500
AAW,W900,W900
AAW,"['4 Plus 2 Norm', '4 Plus 2 Bass', '4 Plus 2 Vokal']",Project 4+2
Acoustune,HS1001,HS1001
Acoustune,HS1003,HS1003
Acoustune,"['HS1004', 'HS1004 S2']",HS1004
Acoustune,HS1300,HS1300
Acoustune,"['HS1501', 'HS1501 S2']",HS1501
Acoustune,HS1503,HS1503
Acoustune,HS1551,HS1551
Acoustune,HS1650,HS1650
Acoustune,HS1655,HS1655
Acoustune,HS1657,HS1657
Acoustune,HS1670,HS1670
Acoustune,HS1677,HS1677
Acoustune,HS1695,HS1695
Acoustune,HS1697,HS1697
Acoustune,HS2000MX,"HS2000MX ""SHO-ç¬™-"""
Advanced,747,747
Advanced,747 NC,747 NC
Advanced,Elise,Elise
Advanced,Evo X,Evo X
Advanced,"['GT3 Ref', 'GT3 Bass', 'GT3 Treble']",GT3
Advanced,"['GT3 Superbass Ref', 'GT3 Superbass Bass', 'GT3 Superbass Treble']",GT3 Superbass
Noble,M3 Noble,M3
FiR,"['M4 S5', 'M4 S4', 'M4 S3', 'M4 FiR S2', 'M4 FiR']",M4
Advanced,M51D,M51D
Advanced,M55D,M55D
Advanced,Model X Advanced,Model X
Advanced,S2000,S2000
Advanced,Sleeper,Sleeper
AKG,N400NC,N400
AKG,"['N5005 Reference', 'N5005 Bass Boost', 'N5005 Mid High', 'N5005 High']",N5005
Alclair,Versa,Versa
Alclair,Studio 3,Studio3
Alclair,Studio 4,Studio4
Alclair,Electro,Electro
Ambient Dynamics,Lyndale,"AD-006 ""Lyndale"""
Ambient Acoustics,"['AM7', 'AM7 Blue', 'AM7 Red', 'AM7 Yellow']",AM7
Ambient Acoustics,AM16,AM16
Ambient Acoustics,AM24,AM24
Ambient Acoustics,MAD16,MAD16
Ambient Acoustics,MAD24,MAD24
Anker,Liberty 2 Pro,Soundcore Liberty 2 Pro
Anker,Liberty Air 2,Soundcore Liberty Air 2
Anthem Five,E2,E2 (Custom)
Anthem Five,E4,E4 (Custom)
Apple,"['AirPods Pro', 'AirPods Pro S2']",AirPods Pro
Apple,"['AirPods Pro 2 ANC', 'AirPods Pro 2 Passive', 'AirPods Pro 2 Transparency']",AirPods Pro 2
ARC,"['Pollux S2', 'Pollux']",Pollux
ARC,Mira,Mira
ARC,Oculus,Oculus
Aroma,Shock,Shock
Aroma,Star,Star
Aroma,Early,Early
Aroma,"['Twins Bass', 'Twins Treble']",Twins
Aroma,Witch Girl S,Witch Girl S
Aroma,Witch Girl Pro,Witch Girl Pro
Aroma,Witch Girl W12,Witch Girl W12
Aroma,Yao,Yao
